"number","name","enabled","splashPage","ssidAdminAccessible","authMode","ipAssignmentMode","minBitrate","bandSelection","perClientBandwidthLimitUp","perClientBandwidthLimitDown","networkId","networkName","networkTemplateId","psk","encryptionMode","wpaEncryptionMode","walledGardenEnabled","walledGardenRanges","radiusServers","radiusAccountingEnabled","radiusAccountingServers","radiusCoaEnabled","radiusAttributeForGroupPolicies","radiusFailoverPolicy","radiusLoadBalancingPolicy","useVlanTagging","radiusOverride"
4,"ElevenDemo",true,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
5,".TorchFi Room Service",true,"Click-through splash page",false,"open","NAT mode",11,"Dual band operation",2048,2048,"N_646829496481145383","Hotel WiFi - 1",,,,,true,"*.torchfi.com
*.trch.in",,,,,,,,,
6,"Unconfigured SSID 7",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
7,"Unconfigured SSID 8",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
8,"Unconfigured SSID 9",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
9,"Unconfigured SSID 10",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
10,"Unconfigured SSID 11",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
11,"Unconfigured SSID 12",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
12,"Unconfigured SSID 13",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
13,"Unconfigured SSID 14",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
14,"Unconfigured SSID 15",false,"None",false,"open","NAT mode",11,"Dual band operation",0,0,"N_646829496481145383","Hotel WiFi - 1",,,,,,,,,,,,,,,
0,"DevNet Demo WiFi",true,"None",false,"psk","NAT mode",11,"Dual band operation",0,0,"N_646829496481145630","DevNet Demo",,"meraki123","wpa","WPA2 only",,,,,,,,,,,
1,".meraki-sponsor",true,"Sponsored guest",false,"psk","NAT mode",11,"Dual band operation",0,0,"N_646829496481145630","DevNet Demo",,"meraki123","wpa","WPA2 only",false,,,,,,,,,,
